#,Title,URL,Published At
75,"Alec Baldwin Plans to Sue Santa Fe Prosecutor, Sheriff Over 'Rust' Case",https://www.tmz.com/2024/07/18/alec-baldwin-plans-sue-santa-fe-prosecutor-sheriff-rust-manslaughter-case-dismissal/,2024-07-18T19:03:17Z
76,Alec Baldwin Appears in Court for Rulings on Eve of ‘Rust’ Manslaughter Trial,http://www.rollingstone.com/tv-movies/tv-movie-news/alec-baldwin-in-court-rust-manslaughter-trial-rulings-1235054800/,2024-07-08T18:58:51Z
77,Alec Baldwin Wasn't Only 'Rust' Actor With Live Ammo On Set,https://www.tmz.com/2024/07/11/alec-baldwin-actor-holster-live-rounds-ammunition-rust-set-jensen-ackles/,2024-07-11T18:59:40Z
78,‘Rust’ Safety Officer Details Alec Baldwin ‘Yelling’ on Set Over Horse Riding Protocol,http://www.rollingstone.com/tv-movies/tv-movie-news/alec-baldwin-rust-safety-officer-argument-1235052794/,2024-07-03T18:38:56Z
79,"Alec Baldwin Plans to Sue Santa Fe Prosecutor, Sheriff After ‘Rust’ Charge Dismissal",http://www.rollingstone.com/tv-movies/tv-movie-news/alec-baldwin-lawsuit-santa-fe-prosecutor-sheriff-rust-charge-dismissal-1235062210/,2024-07-17T15:07:08Z
80,"'I followed your instructions to the letter': Painter maliciously complies with boss's orders to use corrosive paint, costs boss a fortune to fix",https://cheezburger.com/35657733/i-followed-your-instructions-to-the-letter-painter-maliciously-complies-with-bosss-orders-to-use,2024-07-05T18:00:00Z
81,"Alec Baldwin ‘Violated the Cardinal Rules of Firearm Safety,’ Prosecutors Say at ‘Rust’ Trial",http://www.rollingstone.com/tv-movies/tv-movie-news/alec-baldwin-rust-trial-begins-opening-statements-1235056926/,2024-07-10T16:07:02Z
82,35 Junkyard-bound Mechanic Memes for DIY Car Guys With Too Many Project Vehicles,https://cheezburger.com/35657221/35-junkyard-bound-mechanic-memes-for-diy-car-guys-with-too-many-project-vehicles,2024-07-05T23:00:00Z
83,"'Answer each and every email with ""got it""': Boss insists that employee change the ""upsetting"" tone of their emails",https://cheezburger.com/35795973/answer-each-and-every-email-with-got-it-boss-insists-that-employee-change-the-upsetting-tone-of,2024-07-13T15:00:00Z
84,Junkyard Gem: 2008 Volkswagen Rabbit,https://www.autoblog.com/2024/07/17/junkyard-gem-2008-volkswagen-rabbit/,2024-07-17T18:53:00Z
85,"Alec Baldwin’s Involuntary Manslaughter ‘Rust’ Trial: What You Need Know, How To Watch & Who Will Testify",http://deadline.com/2024/07/alec-baldwin-rust-trial-what-to-know-1236003779/,2024-07-09T14:22:00Z
86,Alec Baldwin Jury Sent Home As Lawyers Spar Over Defense Dismissal Motion & Mysterious Bullet Evidence; Trial To Resume Monday,http://deadline.com/2024/07/alec-baldwin-trial-judge-sommer-motion-to-dismiss-1236008471/,2024-07-12T16:27:00Z
87,R9OS: Plan 9 in Rust,https://www.osnews.com/story/140049/r9os-plan-9-in-rust/,2024-07-03T08:02:06Z
88,"Synchronous Core, Asynchronous Shell",https://blog.sulami.xyz/posts/sync-core-async-shell/,2024-07-05T17:02:03Z
89,Mercurial is simply too good (2020),https://baez.link/mercurial-is-simply-too-good,2024-07-15T21:28:04Z
90,Post-Apocalyptic Shooter Blowing Up Steam Has A Wild First Week,https://kotaku.com/once-human-steam-reviews-server-season-reset-cosmetic-1851592897,2024-07-15T17:05:00Z
91,You're a better pilot than I if you can get this Mechwarrior meets HighFleet indie’s mech to do literally anything,https://www.rockpapershotgun.com/youre-a-better-pilot-than-i-if-you-can-get-this-mechwarrior-meets-highfleet-indies-mech-to-do-literally-anything,2024-07-16T08:24:52Z
92,This New York Dealership Is Selling One Of The Worst Used Cars I've Ever Seen,https://jalopnik.com/this-new-york-dealership-is-selling-one-of-the-worst-us-1851601366,2024-07-22T17:45:00Z
93,Graphpaper Goes Grey for Fall/Winter 2024,https://hypebeast.com/2024/7/graphpaper-fall-winter-2024-collection-lookbook,2024-07-21T00:08:28Z
94,Alec Baldwin Jury Sent Home As Lawyers Spar Over Defense Dismissal Motion & Mysterious Bullet Evidence; Trial To Resume Monday,http://deadline.com/2024/07/alec-baldwin-jury-sent-home-as-lawyers-spar-over-defense-dismissal-motion-mysterious-bullet-evidence-trial-to-resume-monday-1236008471/,2024-07-12T16:27:00Z
95,Halyna Hutchins’ Widower Vows To Take Alec Baldwin Back To Court For Fatal Shooting Of ‘Rust’ Cinematographer,http://deadline.com/2024/07/alec-baldwin-halyna-hutchins-widower-sued-again-rust-1236009036/,2024-07-13T00:15:39Z
96,The 'Lord Almighty' or Biden's team? He now says he'd drop out if 'no way' to win,https://abcnews.go.com/Politics/lord-almighty-bidens-team-now-hed-drop-win/story?id=111892475,2024-07-12T21:39:17Z
97,"Alec Baldwin Case Dismissed Over Prosecutorial Misconduct, Baldwin Weeps",https://www.tmz.com/2024/07/12/alec-baldwin-case-dismissed-hiding-evidence-cries-misconduct-prosecutor/,2024-07-12T22:14:08Z
98,Types Team Update and Roadmap (Rust Blog),https://lwn.net/Articles/979741/,2024-06-26T13:16:16Z
99,The new GOP platform follows Trump’s lead; how to combine finances with a partner,https://www.npr.org/2024/07/09/g-s1-8912/up-first-newsletter-rnc-gop-republican-party-platform-2024-finances-relationships,2024-07-09T11:51:35Z
