#,Title,URL,Published At
37,Protesters who toppled Hasina want a Nobel laureate to lead Bangladesh. Who is Muhammad Yunus?,https://www.yahoo.com/news/protesters-toppled-hasina-want-nobel-112319918.html,2024-08-06T11:23:19Z
38,Tim Walz Joins the Anti-weirdness Ticket,https://www.theatlantic.com/newsletters/archive/2024/08/tim-walz-joins-the-anti-weirdness-ticket/679383/?utm_source=feed,2024-08-06T22:54:00Z
39,[Removed],https://removed.com,1970-01-01T00:00:00Z
40,[Removed],https://removed.com,1970-01-01T00:00:00Z
41,[Removed],https://removed.com,1970-01-01T00:00:00Z
42,[Removed],https://removed.com,1970-01-01T00:00:00Z
43,Bangladesh's president dissolves parliament as protesters stand firm,https://www.cbsnews.com/news/bangladesh-president-dissolves-parliament-protesters-say-wont-accept-army-run-government/,2024-08-06T11:29:00Z
44,"More than 170 dead, thousands jailed after week of unrest in Bangladesh",https://www.cbsnews.com/news/bangladesh-news-protests-deaths-mass-arrests-job-quotas/,2024-07-23T10:03:16Z
45,‘Banker to the poor’ to lead interim government in Bangladesh,https://www.rt.com/india/602271-yunus-appointed-interim-government-bangladesh/,2024-08-07T12:31:21Z
46,[Removed],https://removed.com,1970-01-01T00:00:00Z
47,Bangladesh awaits installation of interim government after weeks of strife,https://www.yahoo.com/news/bangladesh-awaits-installation-interim-government-000609323.html,2024-08-08T00:06:09Z
48,Bangladesh: Interim leader Yunus appeals for calm,https://www.dw.com/en/bangladesh-interim-leader-yunus-appeals-for-calm/a-69878203,2024-08-07T11:31:00Z
49,Bangladesh: Muhammad Yunus to head interim government,https://www.dw.com/en/bangladesh-muhammad-yunus-to-head-interim-government/a-69865159,2024-08-06T18:50:00Z
50,Nobel laureate tapped to lead interim government in Bangladesh,https://www.bostonglobe.com/2024/08/06/nation/nobel-laureate-tapped-lead-interim-government-bangladesh/,2024-08-06T21:40:30Z
51,"Bangladesh: Yunus becomes interim leader, replacing Hasina",https://www.dw.com/en/bangladesh-yunus-becomes-interim-leader-replacing-hasina/a-69883277,2024-08-08T09:18:00Z
52,[Removed],https://removed.com,1970-01-01T00:00:00Z
53,Nobel laureate Yunus takes charge of Bangladesh,https://japantoday.com/category/world/nobel-laureate-yunus-takes-charge-of-bangladesh-hopes-to-heal-strife-torn-country1,2024-08-08T22:05:50Z
54,'Get ready to build the country': Muhammad Yunus rallies Bangladesh ahead of taking lead of interim government,https://www.abc.net.au/news/2024-08-08/muhammad-yunus-interim-government-bangladesh/104197900,2024-08-07T14:41:17Z
55,Modi appeals for safety of Hindus in crisis-hit Bangladesh,https://www.rt.com/india/602344-india-modi-hindus-bangladesh/,2024-08-08T20:00:43Z
56,"Bangladesh: Yunus has work cut out to boost economy, jobs",https://www.dw.com/en/bangladesh-yunus-has-work-cut-out-to-boost-economy-jobs/a-69903113,2024-08-09T15:53:00Z
57,"Who is Muhammad Yunus, Bangladesh's interim leader?",https://www.dw.com/en/who-is-muhammad-yunus-bangladeshs-interim-leader/a-69870068,2024-08-06T13:27:00Z
58,"Who is Muhammad Yunus, Bangladesh's possible interim leader?",https://www.dw.com/en/who-is-muhammad-yunus-bangladeshs-possible-interim-leader/a-69870068,2024-08-06T13:27:00Z
59,Bangladesh's Yunus Honours Heroes As Interim Government Begins Work,https://www.ibtimes.com/bangladeshs-yunus-honours-heroes-interim-government-begins-work-3739384,2024-08-09T07:42:21Z
60,Bangladesh's Yunus Hails Slain Student In Appeal For Unity,https://www.ibtimes.com/bangladeshs-yunus-hails-slain-student-appeal-unity-3739451,2024-08-10T06:57:17Z
61,Bangladesh Nobel Winner Yunus Tapped To Lead Interim Govt,https://www.ibtimes.com/bangladesh-nobel-winner-yunus-tapped-lead-interim-govt-3739128,2024-08-07T03:52:18Z
62,Bangladesh Nobel Winner Yunus Ready To Lead After Hasina Flees,https://www.ibtimes.com/bangladesh-nobel-winner-yunus-ready-lead-after-hasina-flees-3739094,2024-08-06T15:27:10Z
63,Nobel Winner Yunus Returning To Bangladesh To Lead New Government,https://www.ibtimes.com/nobel-winner-yunus-returning-bangladesh-lead-new-government-3739226,2024-08-08T02:48:13Z
